符号栈                                                                                                                                                             使用产生式                                                                                                                                                 读入符号                符号栈                                                                                                                                                                                                                                   
# } <statement_list> <declaration_list*> ; ID                                                                                                                   null                                                                                                                                                  ID                  ; int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                           
# } <statement_list> <declaration_list*> ;                                                                                                                      null                                                                                                                                                  ;                   int b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                             
# } <statement_list> <declaration_list*>                                                                                                                        null                                                                                                                                                  int                 b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                 
# } <statement_list>                                                                                                                                            <declaration_list*>-><declaration_stat><declaration_list*>                                                                                            int                 b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                 
# } <statement_list> <declaration_list*>                                                                                                                        <declaration_stat>->intID;                                                                                                                            int                 b2 ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                 
# } <statement_list> <declaration_list*> ; ID                                                                                                                   null                                                                                                                                                  ID                  ; int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                    
# } <statement_list> <declaration_list*> ;                                                                                                                      null                                                                                                                                                  ;                   int c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                      
# } <statement_list> <declaration_list*>                                                                                                                        null                                                                                                                                                  int                 c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                          
# } <statement_list>                                                                                                                                            <declaration_list*>-><declaration_stat><declaration_list*>                                                                                            int                 c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                          
# } <statement_list> <declaration_list*>                                                                                                                        <declaration_stat>->intID;                                                                                                                            int                 c ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                          
# } <statement_list> <declaration_list*> ; ID                                                                                                                   null                                                                                                                                                  ID                  ; for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                            
# } <statement_list> <declaration_list*> ;                                                                                                                      null                                                                                                                                                  ;                   for ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                              
# } <statement_list> <declaration_list*>                                                                                                                        null                                                                                                                                                  for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# } <statement_list>                                                                                                                                            <declaration_list*>->#                                                                                                                                for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# }                                                                                                                                                             <statement_list>-><statement_list*>                                                                                                                   for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# }                                                                                                                                                             <statement_list*>-><statement><statement_list*>                                                                                                       for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# } <statement_list*>                                                                                                                                           <statement>-><for_stat>                                                                                                                               for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# } <statement_list*>                                                                                                                                           <for_stat>->for(<assignment_expression>;<bool_expression>;<assignment_expression>)<statement>                                                         for                 ( i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                  
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <assignment_expression> (                                                     null                                                                                                                                                  (                   i = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                    
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <assignment_expression>                                                       null                                                                                                                                                  ID                  = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                      
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ;                                                                               <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = 1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                      
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression> =                                                     null                                                                                                                                                  =                   1 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                        
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression>                                                       null                                                                                                                                                  NUM                 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                          
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ;                                                                               <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               NUM                 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                          
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression*>                                                      <term>-><factor><term*>                                                                                                                               NUM                 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                          
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression*> <term*>                                              <factor>->NUM                                                                                                                                         NUM                 ; i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                          
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression*> <term*>                                              null                                                                                                                                                  ;                   i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                            
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ; <arithmetic_expression*>                                                      <term*>->#                                                                                                                                            ;                   i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                            
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression> ;                                                                               <arithmetic_expression*>->#                                                                                                                           ;                   i <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                            
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression>                                                                                 null                                                                                                                                                  ID                  <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                              
# } <statement_list*> <statement> ) <assignment_expression> ;                                                                                                   <bool_expression>-><arithmetic_expression><bool_expression^>                                                                                          ID                  <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                              
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^>                                                                                <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                              
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^> <arithmetic_expression*>                                                       <term>-><factor><term*>                                                                                                                               ID                  <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                              
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^> <arithmetic_expression*> <term*>                                               <factor>->ID                                                                                                                                          ID                  <= 10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                              
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^> <arithmetic_expression*> <term*>                                               null                                                                                                                                                  <=                  10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                 
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^> <arithmetic_expression*>                                                       <term*>->#                                                                                                                                            <=                  10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                 
# } <statement_list*> <statement> ) <assignment_expression> ; <bool_expression^>                                                                                <arithmetic_expression*>->#                                                                                                                           <=                  10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                 
# } <statement_list*> <statement> ) <assignment_expression> ;                                                                                                   <bool_expression^>-><=<arithmetic_expression>                                                                                                         <=                  10 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                 
# } <statement_list*> <statement> ) <assignment_expression> ; <arithmetic_expression>                                                                           null                                                                                                                                                  NUM                 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                    
# } <statement_list*> <statement> ) <assignment_expression> ;                                                                                                   <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               NUM                 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                    
# } <statement_list*> <statement> ) <assignment_expression> ; <arithmetic_expression*>                                                                          <term>-><factor><term*>                                                                                                                               NUM                 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                    
# } <statement_list*> <statement> ) <assignment_expression> ; <arithmetic_expression*> <term*>                                                                  <factor>->NUM                                                                                                                                         NUM                 ; i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                    
# } <statement_list*> <statement> ) <assignment_expression> ; <arithmetic_expression*> <term*>                                                                  null                                                                                                                                                  ;                   i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                      
# } <statement_list*> <statement> ) <assignment_expression> ; <arithmetic_expression*>                                                                          <term*>->#                                                                                                                                            ;                   i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                      
# } <statement_list*> <statement> ) <assignment_expression> ;                                                                                                   <arithmetic_expression*>->#                                                                                                                           ;                   i = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                      
# } <statement_list*> <statement> ) <assignment_expression>                                                                                                     null                                                                                                                                                  ID                  = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                        
# } <statement_list*> <statement> )                                                                                                                             <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                        
# } <statement_list*> <statement> ) <arithmetic_expression> =                                                                                                   null                                                                                                                                                  =                   i + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                          
# } <statement_list*> <statement> ) <arithmetic_expression>                                                                                                     null                                                                                                                                                  ID                  + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                            
# } <statement_list*> <statement> )                                                                                                                             <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                            
# } <statement_list*> <statement> ) <arithmetic_expression*>                                                                                                    <term>-><factor><term*>                                                                                                                               ID                  + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                            
# } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                                            <factor>->ID                                                                                                                                          ID                  + 1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                            
# } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                                            null                                                                                                                                                  +                   1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                              
# } <statement_list*> <statement> ) <arithmetic_expression*>                                                                                                    <term*>->+<factor><term*>                                                                                                                             +                   1 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                              
# } <statement_list*> <statement> ) <arithmetic_expression*> <term*> <factor>                                                                                   null                                                                                                                                                  NUM                 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                
# } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                                            <factor>->NUM                                                                                                                                         NUM                 ) { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                
# } <statement_list*> <statement> ) <arithmetic_expression*> <term*>                                                                                            null                                                                                                                                                  )                   { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                  
# } <statement_list*> <statement> ) <arithmetic_expression*>                                                                                                    <term*>->#                                                                                                                                            )                   { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                  
# } <statement_list*> <statement> )                                                                                                                             <arithmetic_expression*>->#                                                                                                                           )                   { a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                  
# } <statement_list*> <statement>                                                                                                                               null                                                                                                                                                  {                   a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                    
# } <statement_list*>                                                                                                                                           <statement>-><compound_stat>                                                                                                                          {                   a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                    
# } <statement_list*>                                                                                                                                           <compound_stat>->{<statement_list>}                                                                                                                   {                   a = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                    
# } <statement_list*> } <statement_list>                                                                                                                        null                                                                                                                                                  ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> }                                                                                                                                         <statement_list>-><statement_list*>                                                                                                                   ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> }                                                                                                                                         <statement_list*>-><statement><statement_list*>                                                                                                       ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> } <statement_list*>                                                                                                                       <statement>-><assignment_stat>                                                                                                                        ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> } <statement_list*>                                                                                                                       <assignment_stat>-><assignment_expression>;                                                                                                           ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> } <statement_list*> ;                                                                                                                     <assignment_expression>->ID=<arithmetic_expression>                                                                                                   ID                  = a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                      
# } <statement_list*> } <statement_list*> ; <arithmetic_expression> =                                                                                           null                                                                                                                                                  =                   a + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                        
# } <statement_list*> } <statement_list*> ; <arithmetic_expression>                                                                                             null                                                                                                                                                  ID                  + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                          
# } <statement_list*> } <statement_list*> ;                                                                                                                     <arithmetic_expression>-><term><arithmetic_expression*>                                                                                               ID                  + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                          
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term>-><factor><term*>                                                                                                                               ID                  + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                          
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    <factor>->ID                                                                                                                                          ID                  + i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                          
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    null                                                                                                                                                  +                   i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                            
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*>                                                                                            <term*>->+<factor><term*>                                                                                                                             +                   i ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                            
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*> <factor>                                                                           null                                                                                                                                                  ID                  ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                              
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    <factor>->ID                                                                                                                                          ID                  ; b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                              
# } <statement_list*> } <statement_list*> ; <arithmetic_expression*> <term*>                                                                                    null                                                                                                                                                  ;                   b = b * i ; { c = a + b ; } while ( x <= 10 ) { C = a + b + ( x * y ) ; if ( a > b ) { read a ; } else { write b + 5 ; } write c ; } #                                                                                                
